source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,utility_weighted_specificity,0.991042,0.979792,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,qi_specificity_score,0.991042,0.979786,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,qi_exact_rate,0.989167,0.975,1.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,qi_placeholder_rate,0.0075,0.0,0.02,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,none,qi_dropped_rate,0.003333,0.0,0.01,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,utility_weighted_specificity,0.955042,0.933541,0.974875,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,qi_specificity_score,0.955042,0.932499,0.974584,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,qi_exact_rate,0.943667,0.916333,0.967838,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,qi_placeholder_rate,0.0455,0.024,0.070004,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,direct,qi_dropped_rate,0.010833,0.0,0.025,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,utility_weighted_specificity,0.263542,0.2475,0.281667,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,qi_specificity_score,0.263542,0.247917,0.28125,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,qi_exact_rate,0.030833,0.013333,0.051667,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,qi_placeholder_rate,0.930833,0.895,0.961667,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,blanket_qi,qi_dropped_rate,0.038333,0.0125,0.070833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_priority0_qi_specificity,rbqig_b2,utility_weighted_specificity,0.301175,0.277624,0.327019,100,5000,20260628
