source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,utility_weighted_specificity,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,qi_specificity_score,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,qi_exact_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,qi_generalized_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,qi_placeholder_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_no_combo_minus_rbqig_b4,qi_dropped_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,utility_weighted_specificity,0.189219,0.182392,0.196507,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,qi_specificity_score,0.196572,0.19177,0.201487,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,qi_exact_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,qi_generalized_rate,0.491428,0.479428,0.503861,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,qi_placeholder_rate,-0.491428,-0.504143,-0.479143,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b4_minus_blanket_qi,qi_dropped_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,utility_weighted_specificity,0.185668,0.183058,0.188289,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,qi_specificity_score,0.180571,0.177428,0.183828,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,qi_exact_rate,0.0,0.0,0.0,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,qi_generalized_rate,0.451429,0.443286,0.459429,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,qi_placeholder_rate,-0.451429,-0.459572,-0.443286,100,5000,20260628
synthetic_100_priority0_qi_specificity,rbqig_b6_minus_rbqig_b2,qi_dropped_rate,0.0,0.0,0.0,100,5000,20260628
