source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,direct_identifier_leakage,0.37,0.28,0.47,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,record_compromise_rate,-0.02,-0.05,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,exact_attribute_leakage,-0.095855,-0.128775,-0.066342,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,coarse_attribute_leakage,-0.095855,-0.128483,-0.066692,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,risk_weighted_leakage,-0.088317,-0.120261,-0.05988,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,label_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_direct,token_change_rate,0.005908,0.004375,0.00758,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,direct_identifier_leakage,0.37,0.28,0.47,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,record_compromise_rate,0.89,0.83,0.95,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,exact_attribute_leakage,0.845131,0.801536,0.884161,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,coarse_attribute_leakage,0.222699,0.152924,0.293797,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,risk_weighted_leakage,0.56384,0.509638,0.615092,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,presidio_pattern_minus_rbqig_b4,token_change_rate,-0.054835,-0.062725,-0.047113,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,record_compromise_rate,0.91,0.85,0.96,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,exact_attribute_leakage,0.940986,0.917295,0.963017,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,coarse_attribute_leakage,0.318554,0.262429,0.374769,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,risk_weighted_leakage,0.652158,0.613673,0.688393,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,direct_minus_rbqig_b4,token_change_rate,-0.060743,-0.069196,-0.053246,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.005,0.0,0.015,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.627432,0.567347,0.685797,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.283169,0.250127,0.316146,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260627
presidio_pattern_ratbench_d1_100,rbqig_b4_minus_blanket_qi,token_change_rate,-0.001562,-0.001863,-0.001276,100,5000,20260627
