source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_api_100_deterministic_with_llm_direct,none,direct_identifier_leakage,0.91,0.85,0.96,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,record_compromise_rate,0.92,0.86,0.97,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,exact_attribute_leakage,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,coarse_attribute_leakage,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,risk_weighted_leakage,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,none,token_change_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,record_compromise_rate,0.92,0.86,0.97,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,exact_attribute_leakage,0.948865,0.927217,0.967878,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,coarse_attribute_leakage,0.948865,0.926272,0.969437,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,risk_weighted_leakage,0.938182,0.910077,0.96332,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,direct,token_change_rate,0.008783,0.007599,0.010046,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,record_compromise_rate,0.57,0.47,0.67,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,exact_attribute_leakage,0.654144,0.602133,0.708885,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,coarse_attribute_leakage,0.654144,0.599839,0.706674,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,risk_weighted_leakage,0.594961,0.536271,0.651037,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,llm_direct,token_change_rate,0.03465,0.029638,0.040367,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,record_compromise_rate,0.01,0.0,0.03,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,exact_attribute_leakage,0.002879,0.0004,0.00622,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,coarse_attribute_leakage,0.002879,0.0004,0.006261,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,risk_weighted_leakage,0.002856,0.000449,0.006065,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,blanket_qi,token_change_rate,0.071088,0.062968,0.079994,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b2,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b2,record_compromise_rate,0.01,0.0,0.03,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b2,exact_attribute_leakage,0.002879,0.0004,0.006261,100,5000,20260627
ratbench_d1_api_100_deterministic_with_llm_direct,rbqig_b2,coarse_attribute_leakage,0.517981,0.449744,0.583675,100,5000,20260627
