source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_api_100,none,direct_identifier_leakage,0.91,0.85,0.96,100,5000,20260627
ratbench_d1_blind_api_100,none,record_compromise_rate,0.39,0.3,0.49,100,5000,20260627
ratbench_d1_blind_api_100,none,exact_attribute_leakage,0.989167,0.974167,1.0,100,5000,20260627
ratbench_d1_blind_api_100,none,coarse_attribute_leakage,0.989167,0.975,1.0,100,5000,20260627
ratbench_d1_blind_api_100,none,risk_weighted_leakage,0.988773,0.9735,1.0,100,5000,20260627
ratbench_d1_blind_api_100,none,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,none,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,none,token_change_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,direct,record_compromise_rate,0.39,0.29,0.48,100,5000,20260627
ratbench_d1_blind_api_100,direct,exact_attribute_leakage,0.949,0.923333,0.971667,100,5000,20260627
ratbench_d1_blind_api_100,direct,coarse_attribute_leakage,0.949,0.9225,0.972167,100,5000,20260627
ratbench_d1_blind_api_100,direct,risk_weighted_leakage,0.947903,0.920029,0.97188,100,5000,20260627
ratbench_d1_blind_api_100,direct,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,direct,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,direct,token_change_rate,0.007581,0.006643,0.008592,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,exact_attribute_leakage,0.352167,0.290154,0.417333,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,coarse_attribute_leakage,0.352167,0.290329,0.416,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,risk_weighted_leakage,0.321258,0.261146,0.383731,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,blanket_qi,token_change_rate,0.09703,0.088652,0.105629,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,exact_attribute_leakage,0.383,0.319496,0.446504,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,coarse_attribute_leakage,0.383,0.3185,0.446504,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,risk_weighted_leakage,0.349815,0.286513,0.413066,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b2,token_change_rate,0.088562,0.079879,0.097324,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,exact_attribute_leakage,0.408833,0.342663,0.479167,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,coarse_attribute_leakage,0.408833,0.342,0.472004,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,risk_weighted_leakage,0.375384,0.311514,0.442638,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b4,token_change_rate,0.086906,0.078372,0.095583,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,record_compromise_rate,0.0,0.0,0.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,exact_attribute_leakage,0.416333,0.350833,0.482671,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,coarse_attribute_leakage,0.416333,0.348996,0.484337,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,risk_weighted_leakage,0.382111,0.315911,0.447731,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,label_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,utility_fact_preservation,1.0,1.0,1.0,100,5000,20260627
ratbench_d1_blind_api_100,rbqig_b6,token_change_rate,0.085211,0.07688,0.093996,100,5000,20260627
