source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,direct,record_compromise_rate,0.45,0.3,0.6,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,direct,exact_attribute_leakage,0.725833,0.642917,0.8025,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,direct,coarse_attribute_leakage,0.769583,0.690417,0.845833,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,direct,risk_weighted_leakage,0.755243,0.677544,0.827018,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,blanket_qi,record_compromise_rate,0.025,0.0,0.075,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,blanket_qi,exact_attribute_leakage,0.070833,0.025,0.125,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,blanket_qi,coarse_attribute_leakage,0.104167,0.05,0.166667,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,blanket_qi,risk_weighted_leakage,0.084731,0.037574,0.140398,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,rbqig_b4,record_compromise_rate,0.025,0.0,0.075,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,rbqig_b4,exact_attribute_leakage,0.058333,0.016667,0.108333,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,rbqig_b4,coarse_attribute_leakage,0.079167,0.033333,0.13125,40,5000,20260627
ratbench_d1_blind_backstop_v2_api_100_llm_attacker_v2_40,rbqig_b4,risk_weighted_leakage,0.061053,0.023794,0.105845,40,5000,20260627
