source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,record_compromise_rate,0.39,0.3,0.49,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,exact_attribute_leakage,0.897833,0.858667,0.934333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,coarse_attribute_leakage,0.8795,0.8395,0.916171,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,risk_weighted_leakage,0.889062,0.849991,0.925463,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,direct_minus_rbqig_b4,token_change_rate,-0.092262,-0.100684,-0.084255,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.015,0.0,0.04,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.033333,0.011667,0.060833,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.022876,0.005849,0.049161,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100,rbqig_b4_minus_blanket_qi,token_change_rate,-0.006662,-0.007732,-0.005678,100,5000,20260628
