source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4_minus_blanket_qi,utility_weighted_specificity,0.068308,0.047341,0.091508,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4_minus_blanket_qi,qi_specificity_score,0.068308,0.046873,0.09201,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4_minus_blanket_qi,qi_generalized_rate,0.147333,0.104496,0.1945,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4_minus_blanket_qi,qi_placeholder_rate,-0.159833,-0.209004,-0.114333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b4_minus_blanket_qi,qi_exact_rate,0.0125,0.0,0.035,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6_minus_blanket_qi,utility_weighted_specificity,0.100017,0.074191,0.129352,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6_minus_blanket_qi,qi_specificity_score,0.100017,0.074683,0.128718,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6_minus_blanket_qi,qi_generalized_rate,0.203167,0.152662,0.257667,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6_minus_blanket_qi,qi_placeholder_rate,-0.228167,-0.285504,-0.173167,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,rbqig_b6_minus_blanket_qi,qi_exact_rate,0.025,0.0025,0.0575,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct_minus_rbqig_b4,utility_weighted_specificity,0.623192,0.590208,0.655711,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct_minus_rbqig_b4,qi_specificity_score,0.623192,0.588474,0.654858,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct_minus_rbqig_b4,qi_generalized_rate,-0.147333,-0.1925,-0.104,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct_minus_rbqig_b4,qi_placeholder_rate,-0.7255,-0.786,-0.666333,100,5000,20260628
ratbench_d1_blind_backstop_v2_budgetfix_api_100_qi_specificity,direct_minus_rbqig_b4,qi_exact_rate,0.900333,0.861329,0.936,100,5000,20260628
