source,comparison,metric,mean_diff,ci_low,ci_high,n_records,n_boot,seed
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,record_compromise_rate,0.766667,0.6,0.9,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,exact_attribute_leakage,0.907407,0.8,0.990741,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,coarse_attribute_leakage,0.013508,-0.086492,0.109804,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,risk_weighted_leakage,0.459782,0.371295,0.533493,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,label_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,utility_fact_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_rbqig_b4,token_change_rate,-0.025281,-0.032668,-0.018177,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,record_compromise_rate,0.766667,0.6,0.9,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,exact_attribute_leakage,0.940741,0.855556,0.996296,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,coarse_attribute_leakage,0.940741,0.857407,0.996296,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,risk_weighted_leakage,0.937037,0.853704,0.994444,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,label_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,direct_minus_blanket_qi,token_change_rate,-0.025815,-0.033632,-0.018803,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,record_compromise_rate,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,exact_attribute_leakage,0.033333,0.0,0.1,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,coarse_attribute_leakage,0.927233,0.846509,0.987037,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,risk_weighted_leakage,0.477255,0.425714,0.527626,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,label_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,utility_fact_preservation,0.0,0.0,0.0,30,5000,20260627
ratbench_d2_api_30_deterministic,rbqig_b4_minus_blanket_qi,token_change_rate,-0.000534,-0.000746,-0.000334,30,5000,20260627
