source,method,metric,mean,ci_low,ci_high,n_records,n_boot,seed
synthetic_30_blind_api,none,direct_identifier_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,record_compromise_rate,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,exact_attribute_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,coarse_attribute_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,risk_weighted_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,label_preservation,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,utility_fact_preservation,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,none,token_change_rate,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,direct,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,direct,record_compromise_rate,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,exact_attribute_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,coarse_attribute_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,risk_weighted_leakage,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,label_preservation,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,utility_fact_preservation,1.0,1.0,1.0,30,5000,20260627
synthetic_30_blind_api,direct,token_change_rate,0.134408,0.118054,0.150643,30,5000,20260627
synthetic_30_blind_api,blanket_qi,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,blanket_qi,record_compromise_rate,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,blanket_qi,exact_attribute_leakage,0.039683,0.010317,0.077778,30,5000,20260627
synthetic_30_blind_api,blanket_qi,coarse_attribute_leakage,0.039683,0.010317,0.07621,30,5000,20260627
synthetic_30_blind_api,blanket_qi,risk_weighted_leakage,0.032384,0.008603,0.060928,30,5000,20260627
synthetic_30_blind_api,blanket_qi,label_preservation,0.733333,0.566667,0.8675,30,5000,20260627
synthetic_30_blind_api,blanket_qi,utility_fact_preservation,0.361111,0.294444,0.430556,30,5000,20260627
synthetic_30_blind_api,blanket_qi,token_change_rate,0.628918,0.60459,0.653315,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,record_compromise_rate,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,exact_attribute_leakage,0.053016,0.015873,0.097778,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,coarse_attribute_leakage,0.053016,0.01806,0.095877,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,risk_weighted_leakage,0.042911,0.015054,0.078442,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,label_preservation,0.733333,0.566667,0.9,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,utility_fact_preservation,0.413889,0.330556,0.491667,30,5000,20260627
synthetic_30_blind_api,rbqig_b2,token_change_rate,0.589715,0.563553,0.615178,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,record_compromise_rate,0.033333,0.0,0.1,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,exact_attribute_leakage,0.059683,0.016667,0.114607,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,coarse_attribute_leakage,0.065238,0.021429,0.119524,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,risk_weighted_leakage,0.052201,0.017,0.097142,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,label_preservation,0.766667,0.6,0.9,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,utility_fact_preservation,0.433333,0.35,0.516667,30,5000,20260627
synthetic_30_blind_api,rbqig_b4,token_change_rate,0.558176,0.531285,0.583082,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,direct_identifier_leakage,0.0,0.0,0.0,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,record_compromise_rate,0.033333,0.0,0.1,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,exact_attribute_leakage,0.059683,0.019048,0.113179,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,coarse_attribute_leakage,0.065238,0.021429,0.120956,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,risk_weighted_leakage,0.052201,0.016783,0.097146,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,label_preservation,0.8,0.666667,0.933333,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,utility_fact_preservation,0.433333,0.35,0.516667,30,5000,20260627
synthetic_30_blind_api,rbqig_b6,token_change_rate,0.527194,0.498603,0.55599,30,5000,20260627
