id,method,domain,direct_identifier_leakage,exact_attribute_leakage,coarse_attribute_leakage,risk_weighted_leakage,record_compromise_rate,label_preservation,utility_fact_preservation,token_change_rate
synth_0000,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0001,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0002,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0003,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0004,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0005,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0006,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0007,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0008,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0009,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0010,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0011,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0012,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0013,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0014,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0015,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0016,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0017,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0018,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0019,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0020,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0021,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0022,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0023,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0024,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0025,none,medical_admin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0026,none,legal_intake,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0027,none,financial_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0028,none,hr_workplace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0029,none,education_support,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
synth_0000,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18367346938775508
synth_0001,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13636363636363635
synth_0002,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13725490196078427
synth_0003,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05128205128205132
synth_0004,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13953488372093026
synth_0005,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20454545454545459
synth_0006,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13636363636363635
synth_0007,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13461538461538458
synth_0008,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05128205128205132
synth_0009,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15000000000000002
synth_0010,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996
synth_0011,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13953488372093026
synth_0012,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14583333333333337
synth_0013,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05405405405405406
synth_0014,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385
synth_0015,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18367346938775508
synth_0016,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1428571428571429
synth_0017,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14893617021276595
synth_0018,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05714285714285716
synth_0019,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14634146341463417
synth_0020,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19565217391304346
synth_0021,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1428571428571429
synth_0022,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13461538461538458
synth_0023,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052631578947368474
synth_0024,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13636363636363635
synth_0025,direct,medical_admin,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19565217391304346
synth_0026,direct,legal_intake,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385
synth_0027,direct,financial_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14583333333333337
synth_0028,direct,hr_workplace,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.050000000000000044
synth_0029,direct,education_support,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12765957446808507
synth_0000,blanket_qi,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.5,0.5306122448979591
synth_0001,blanket_qi,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6363636363636364
synth_0002,blanket_qi,financial_support,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667
synth_0003,blanket_qi,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7692307692307692
synth_0004,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5813953488372092
synth_0005,blanket_qi,medical_admin,0.0,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.0,1.0,0.75,0.43181818181818177
synth_0006,blanket_qi,legal_intake,0.0,0.16666666666666666,0.16666666666666666,0.13636363636363635,0.0,1.0,0.6666666666666666,0.5909090909090908
synth_0007,blanket_qi,financial_support,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6153846153846154
synth_0008,blanket_qi,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6923076923076923
synth_0009,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.6
synth_0010,blanket_qi,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333334
synth_0011,blanket_qi,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6511627906976745
synth_0012,blanket_qi,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5833333333333333
synth_0013,blanket_qi,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6756756756756757
synth_0014,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5897435897435898
synth_0015,blanket_qi,medical_admin,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5918367346938775
synth_0016,blanket_qi,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5952380952380952
synth_0017,blanket_qi,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5957446808510638
synth_0018,blanket_qi,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7428571428571429
synth_0019,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5853658536585367
synth_0020,blanket_qi,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.6304347826086957
synth_0021,blanket_qi,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666667
synth_0022,blanket_qi,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6538461538461539
synth_0023,blanket_qi,hr_workplace,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.5526315789473684
synth_0024,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5909090909090908
synth_0025,blanket_qi,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7173913043478262
synth_0026,blanket_qi,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6153846153846154
synth_0027,blanket_qi,financial_support,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.0,0.3333333333333333,0.6041666666666667
synth_0028,blanket_qi,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.675
synth_0029,blanket_qi,education_support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021276595744681
synth_0000,rbqig_b2,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.5,0.4897959183673469
synth_0001,rbqig_b2,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6136363636363636
synth_0002,rbqig_b2,financial_support,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667
synth_0003,rbqig_b2,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6923076923076923
synth_0004,rbqig_b2,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5581395348837209
synth_0005,rbqig_b2,medical_admin,0.0,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.0,1.0,0.75,0.36363636363636365
synth_0006,rbqig_b2,legal_intake,0.0,0.16666666666666666,0.16666666666666666,0.13636363636363635,0.0,1.0,0.6666666666666666,0.5227272727272727
synth_0007,rbqig_b2,financial_support,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5769230769230769
synth_0008,rbqig_b2,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.6666666666666667
synth_0009,rbqig_b2,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.6
synth_0010,rbqig_b2,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7111111111111111
synth_0011,rbqig_b2,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.627906976744186
synth_0012,rbqig_b2,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5833333333333333
synth_0013,rbqig_b2,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5945945945945945
synth_0014,rbqig_b2,education_support,0.0,0.4,0.4,0.3157894736842105,0.0,1.0,0.5,0.46153846153846156
synth_0015,rbqig_b2,medical_admin,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5510204081632653
synth_0016,rbqig_b2,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5714285714285714
synth_0017,rbqig_b2,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5957446808510638
synth_0018,rbqig_b2,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5428571428571429
synth_0019,rbqig_b2,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5853658536585367
synth_0020,rbqig_b2,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.5652173913043479
synth_0021,rbqig_b2,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6428571428571428
synth_0022,rbqig_b2,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6346153846153846
synth_0023,rbqig_b2,hr_workplace,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.5526315789473684
synth_0024,rbqig_b2,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5909090909090908
synth_0025,rbqig_b2,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435
synth_0026,rbqig_b2,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6153846153846154
synth_0027,rbqig_b2,financial_support,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.0,0.6666666666666666,0.5416666666666667
synth_0028,rbqig_b2,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.575
synth_0029,rbqig_b2,education_support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7021276595744681
synth_0000,rbqig_b4,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.5,0.4897959183673469
synth_0001,rbqig_b4,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5909090909090908
synth_0002,rbqig_b4,financial_support,0.0,0.0,0.16666666666666666,0.06818181818181818,0.0,0.0,0.6666666666666666,0.6274509803921569
synth_0003,rbqig_b4,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666667
synth_0004,rbqig_b4,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5348837209302326
synth_0005,rbqig_b4,medical_admin,0.0,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.0,1.0,0.75,0.36363636363636365
synth_0006,rbqig_b4,legal_intake,0.0,0.16666666666666666,0.16666666666666666,0.13636363636363635,0.0,1.0,0.6666666666666666,0.5227272727272727
synth_0007,rbqig_b4,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5192307692307692
synth_0008,rbqig_b4,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.6153846153846154
synth_0009,rbqig_b4,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.525
synth_0010,rbqig_b4,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6888888888888889
synth_0011,rbqig_b4,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5581395348837209
synth_0012,rbqig_b4,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5833333333333333
synth_0013,rbqig_b4,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5675675675675675
synth_0014,rbqig_b4,education_support,0.0,0.6,0.6,0.5263157894736842,1.0,1.0,0.5,0.3846153846153846
synth_0015,rbqig_b4,medical_admin,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.4693877551020408
synth_0016,rbqig_b4,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5476190476190477
synth_0017,rbqig_b4,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5957446808510638
synth_0018,rbqig_b4,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5428571428571429
synth_0019,rbqig_b4,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5853658536585367
synth_0020,rbqig_b4,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.5652173913043479
synth_0021,rbqig_b4,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6190476190476191
synth_0022,rbqig_b4,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5576923076923077
synth_0023,rbqig_b4,hr_workplace,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.75,0.5263157894736843
synth_0024,rbqig_b4,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5
synth_0025,rbqig_b4,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6739130434782609
synth_0026,rbqig_b4,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5897435897435898
synth_0027,rbqig_b4,financial_support,0.0,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.0,0.0,0.6666666666666666,0.5208333333333333
synth_0028,rbqig_b4,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.575
synth_0029,rbqig_b4,education_support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382978723404256
synth_0000,rbqig_b6,medical_admin,0.0,0.14285714285714285,0.14285714285714285,0.11538461538461539,0.0,1.0,0.5,0.4897959183673469
synth_0001,rbqig_b6,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5681818181818181
synth_0002,rbqig_b6,financial_support,0.0,0.0,0.16666666666666666,0.06818181818181818,0.0,0.0,0.6666666666666666,0.607843137254902
synth_0003,rbqig_b6,hr_workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.641025641025641
synth_0004,rbqig_b6,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.4651162790697675
synth_0005,rbqig_b6,medical_admin,0.0,0.42857142857142855,0.42857142857142855,0.34615384615384615,0.0,1.0,0.75,0.36363636363636365
synth_0006,rbqig_b6,legal_intake,0.0,0.16666666666666666,0.16666666666666666,0.13636363636363635,0.0,1.0,0.6666666666666666,0.4772727272727273
synth_0007,rbqig_b6,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5192307692307692
synth_0008,rbqig_b6,hr_workplace,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.5641025641025641
synth_0009,rbqig_b6,education_support,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.525
synth_0010,rbqig_b6,medical_admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
synth_0011,rbqig_b6,legal_intake,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5348837209302326
synth_0012,rbqig_b6,financial_support,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5833333333333333
